model,num_divergent,num_max_treedepth,ebfmi
as,0,0,0.7423041951138609
as,0,0,0.7653956569331176
as,0,0,0.772036797243721
as,0,0,0.7579637882378747
cc,0,0,0.7899310547844443
cc,0,0,0.7804166510411785
cc,0,0,0.7245329535506186
cc,0,0,0.7051078668369742
eth,0,0,0.7918182667839964
eth,0,0,0.8411781214247727
eth,0,0,0.7803113010419759
eth,0,0,0.8187042515934976
asc,0,0,0.7598652114383332
asc,0,0,0.7229218517796326
asc,0,0,0.808148201017251
asc,0,0,0.7724033165029768
asce,0,0,0.7873734950053713
asce,0,0,0.8321719510489022
asce,0,0,0.7945477123529873
asce,0,0,0.8419538136915365
as_int,0,0,0.8070777968091222
as_int,0,0,0.8142039112087389
as_int,0,0,0.7488165755221534
as_int,0,0,0.7703034002496779
asc_int,0,0,0.8428683477879517
asc_int,0,0,0.8156823568664874
asc_int,0,0,0.7933908569609952
asc_int,0,0,0.8482897111259051
asce_int,0,0,0.8919227037545984
asce_int,0,0,0.8226157342094449
asce_int,0,0,0.829542667447883
asce_int,0,0,0.8834345818575784
eth_33,0,0,0.8715942948956018
eth_33,0,0,0.751542462872235
eth_33,0,0,0.7318780876021167
eth_33,0,0,0.8000581745011397
