model,hier,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,2.5%,97.5%,term,lvl,variable_orig,lvl_c,term_c,trials
asce,cmpr_cond,sd,0.02525419856375,0.0262617,0.0116956890410803,0.011185401570000001,0.0041232075,0.043712369999999987,1.011165823328688,400.1622943972912,862.5955807649742,0.0020560302500000002,0.0481877275,2,1,sd_1[2],cmpr,age10,27
asce,cmpr_cond,sd,0.063162476251475,0.06321905,0.031386321962136414,0.027640853099999998,0.010020956000000003,0.11656409999999993,1.0050283532981266,801.9279463592148,1414.5965349688538,0.0052168795,0.1315726,3,1,sd_1[3],cmpr,asian,27
asce,cmpr_cond,sd,0.050279861042225,0.04586535,0.03478993873170803,0.035826287699999994,0.004229167000000001,0.1147318,1.0049780066310576,1058.344166204403,2211.8477789855388,0.002165169,0.13156637500000007,4,1,sd_1[4],cmpr,black,27
asce,cmpr_cond,sd,0.047596622621755,0.047871,0.023582101424059393,0.023040048780000003,0.008076017500000001,0.08572501999999997,1.0130190205486078,457.0545000650653,940.412039348027,0.00368995725,0.09507111750000007,5,1,sd_1[5],cmpr,como_ct,27
asce,cmpr_cond,sd,0.03490643766895,0.03216175,0.02203251564719819,0.021686583239999998,0.0041722255000000005,0.07534306999999997,1.0041854202828884,789.616787343921,1191.569076378941,0.0018170940000000002,0.08581631750000002,6,1,sd_1[6],cmpr,male,27
asce,cmpr_cond,sd,0.089582642128215,0.07875779999999999,0.06429326307759753,0.055202757749999984,0.008580226000000003,0.21109829999999988,1.0019525269247676,1738.5413713005144,2023.937279306356,0.00462332125,0.24745905,7,1,sd_1[7],cmpr,nativ,27
asce,cmpr_cond,sd,0.108892057371,0.105449,0.06266579294754124,0.06544151922000001,0.014479480000000005,0.2174185,1.0082608320220614,1136.3937120426956,1927.696424751579,0.007963827250000001,0.24437365,8,1,sd_1[8],cmpr,other,27
asce,cmpr_cond,sd,0.095450648764725,0.0722673,0.08468753153436714,0.06930354395999999,0.0054449605,0.2592509999999998,1.0052299467361854,1587.3511360185091,2127.9266511041346,0.0029025170000000003,0.31869327500000005,1,2,sd_2[1],cond,Intercept,27
asce,cmpr_cond,sd,0.012519390848965,0.01025825,0.01006646725372935,0.009435555507000001,9.832944000000004e-4,0.031887829999999985,1.0023979591200238,1392.0251999658349,2630.6273166206756,4.859023e-4,0.036319040000000004,2,2,sd_2[2],cond,age10,27
asce,cmpr_cond,sd,0.0398173140123,0.03150155,0.033739914636161675,0.027462718709999993,0.0030882650000000006,0.10510569999999997,1.0011949381314775,2382.8954698716443,2824.91249151589,0.0016325340000000002,0.12602085000000007,3,2,sd_2[3],cond,asian,27
asce,cmpr_cond,sd,0.036970978830725,0.028365099999999997,0.033670843531852235,0.026859226379999997,0.0027506615000000003,0.10002934999999996,1.0019575444324438,2598.348708660966,2444.794454280659,0.0013880025000000001,0.12319110000000003,4,2,sd_2[4],cond,black,27
asce,cmpr_cond,sd,0.02811118549134,0.023378700000000002,0.021437408664698617,0.01929240663,0.0026350405,0.06854282499999999,1.002651965101605,1071.29577294558,2226.4286339564133,0.0014518660000000002,0.0796230325,5,2,sd_2[5],cond,como_ct,27
asce,cmpr_cond,sd,0.05197500381,0.0461145,0.03362416462278362,0.027276578279999998,0.0096135305,0.11288324999999995,1.0026191301745233,1230.5667767759817,1491.6807486518776,0.004410763,0.136620925,6,2,sd_2[6],cond,male,27
asce,cmpr_cond,sd,0.089369413737325,0.06262229999999999,0.09022120339431064,0.06125517573,0.005064292,0.25640089999999993,1.001915962640683,2641.505936676573,2417.7364129492703,0.0026538920000000006,0.3230881500000001,7,2,sd_2[7],cond,nativ,27
asce,cmpr_cond,sd,0.07408513609335,0.0567884,0.06694764600413626,0.05247114138000001,0.0050672415,0.19645094999999985,1.0004531924543223,2854.1061315281995,2436.8413296929225,0.0023016764999999996,0.24530547500000008,8,2,sd_2[8],cond,other,27
asce,cmpr_cond,sd,0.191758648175,0.18495099999999998,0.0604431451088086,0.06183183299999996,0.10634725,0.30010899999999996,1.0102633300009431,583.2913641836279,1809.034636284208,0.09554151749999999,0.31968460000000004,1,3,sd_3[1],nct_id,Intercept,27
asce,cmpr_cond,sd,0.0226275853205,0.0220596,0.008615201439423948,0.009131481659999996,0.0098056145,0.03756543999999999,1.0072486193461845,512.0866679581732,1810.6579348774587,0.00797285725,0.04029725000000001,2,3,sd_3[2],nct_id,age10,27
asce,cmpr_cond,sd,0.037621125437635,0.03291845,0.02764644080652211,0.029993072129999996,0.0030273245000000002,0.08716047999999996,1.0061714774707742,740.3697446055115,2322.6203694162728,0.0013666589999999999,0.0987995175,3,3,sd_3[3],nct_id,asian,27
asce,cmpr_cond,sd,0.062191058832175,0.06263805,0.029875597495672018,0.02847340713,0.010623854999999998,0.11021284999999997,1.0021157227569364,1020.2112120999632,1059.6140469541508,0.0053544725000000005,0.124204825,4,3,sd_3[4],nct_id,black,27
asce,cmpr_cond,sd,0.0449907554325,0.044535000000000005,0.015252975041209243,0.015710815680000004,0.01992265,0.06994715499999998,1.0082417470217788,510.5245721219936,852.2634794534213,0.015414117500000001,0.07488945250000001,5,3,sd_3[5],nct_id,como_ct,27
asce,cmpr_cond,sd,0.05065016538075,0.0502267,0.016366577344412304,0.015404139869999996,0.02388761,0.07742057499999995,1.0018437342454851,1070.845584064623,922.1430134860419,0.0179020875,0.08227389,6,3,sd_3[6],nct_id,male,27
asce,cmpr_cond,sd,0.0800512853364,0.0714272,0.05594839939036368,0.05158462071,0.0076172705,0.18141464999999993,1.0018625224507274,2374.8161129657574,1941.639165618202,0.003930060250000001,0.21595600000000015,7,3,sd_3[7],nct_id,nativ,27
asce,cmpr_cond,sd,0.1053306079925,0.100433,0.045209614929584314,0.04537860536999999,0.04185845,0.1858816999999999,1.002374106576305,1481.1432307534453,2430.4343915207,0.035266305,0.2085527,8,3,sd_3[8],nct_id,other,27
as,cond,b,0.2438779278275,0.24510900000000002,0.07297230198662973,0.06691270320000002,0.1247781,0.3618565499999999,1.0003650094489096,1347.0602725415029,2061.554394631082,0.09564645750000002,0.38881087500000006,1,0,b[1],pop,Intercept,52
as,cond,b,0.0070963942745325,0.00769005,0.010155069846500251,0.009069916695,-0.010249549999999998,0.022553659999999996,1.0006370999565664,1609.30849269111,1576.9720165781312,-0.014979717499999998,0.026259585000000002,2,0,b[2],pop,age10,52
as,cond,b,-0.02776538180099,-0.02803945,0.020321459117147174,0.01889862807,-0.060285355,0.0052197269999999935,1.0024868200609849,2084.9687337514733,2633.1770131345274,-0.06756286500000001,0.012654837500000009,3,0,b[3],pop,male,52
as,cond,sd,0.2065176386075,0.199287,0.07908284591501744,0.07248653789999998,0.09205099000000001,0.34524079999999985,1.0031346204664466,737.9567037498674,877.9608913276196,0.072615375,0.38490805000000006,1,1,sd_1[1],cond,Intercept,52
as,cond,sd,0.0272815681162,0.02728395,0.01416813785666595,0.013939924110000002,0.0038710775000000003,0.05065913,1.0060291026182508,377.4367397176335,719.6549912821448,0.00222755625,0.05534705250000001,2,1,sd_1[2],cond,age10,52
as,cond,sd,0.053131026835,0.04961625,0.02069141333864805,0.01791418167,0.026275414999999996,0.09125743499999996,1.0010828498078799,1619.6959052011293,1860.733207933857,0.0222684675,0.10310740000000003,3,1,sd_1[3],cond,male,52
as,cond,sd,0.213309781,0.2100755,0.029651644292987504,0.028919595599999993,0.1695559,0.2665334499999999,1.0024477373107017,996.6006019635352,1557.7787415432538,0.1631885,0.279233025,1,2,sd_2[1],nct_id,Intercept,52
as,cond,sd,0.026027278975,0.025638050000000003,0.004662794124390124,0.004703177849999999,0.019052645,0.03420752,1.0039821562427087,548.4067609715087,1452.7095310597688,0.0180019625,0.0360354475,2,2,sd_2[2],nct_id,age10,52
as,cond,sd,0.05152143215,0.05083315,0.008379684796984347,0.008148591990000002,0.038835295,0.066307795,1.004611555995192,1436.7761009350038,2526.005872428016,0.03697048000000001,0.0694910175,3,2,sd_2[3],nct_id,male,52
as,cmpr_cond,b,0.2409537786425,0.241413,0.06932513451126099,0.0657043842,0.1260313,0.35237605,1.0011479040813245,2564.7070372164776,2705.66327046103,0.1046685,0.374672875,1,0,b[1],pop,Intercept,52
as,cmpr_cond,b,0.00683964728628,0.007323125,0.010575997017382143,0.009910031985,-0.011077819999999999,0.023016784999999988,1.002332461708854,2745.2259117987787,2430.3666174890127,-0.014627885,0.026934605,2,0,b[2],pop,age10,52
as,cmpr_cond,b,-0.029232956258675,-0.0298917,0.020673602209002606,0.019150447680000002,-0.06117076,0.005406388499999988,1.001027174418431,3312.7872155487175,2674.227567046084,-0.0692423675,0.013748140000000008,3,0,b[3],pop,male,52
as,cmpr_cond,sd,0.129111676445,0.13035049999999998,0.049552714837633995,0.045494099909999995,0.04179858,0.2098920999999999,1.0035105566180813,817.9386445917926,774.658886678621,0.0248267775,0.22941435000000004,1,1,sd_1[1],cmpr,Intercept,52
as,cmpr_cond,sd,0.0071081205490175,0.00606334,0.005223376482001255,0.005172235425,5.9329575e-4,0.01694376,1.004176415258169,1290.9118651140245,1961.5624431927097,2.8313162500000005e-4,0.0194621825,2,1,sd_1[2],cmpr,age10,52
as,cmpr_cond,sd,0.0163913276757175,0.01419335,0.012125785723798292,0.012000460919999999,0.001373543,0.038657794999999995,1.00040720180306,1443.8058686981572,2349.84530255383,6.724162000000002e-4,0.04413824000000001,3,1,sd_1[3],cmpr,male,52
as,cmpr_cond,sd,0.164738485909,0.15929500000000002,0.08199549057792405,0.07589725920000001,0.032528060000000004,0.3071530499999999,1.0012682946989286,626.7868955862155,856.0555968648619,0.01706645,0.3473264750000001,1,2,sd_2[1],cond,Intercept,52
as,cmpr_cond,sd,0.028985843513,0.028569749999999998,0.01354695906305212,0.012681493229999997,0.006549209,0.051713835,1.0075940612519674,652.6681910432831,972.2829332980364,0.0034036982500000004,0.057492700000000035,2,2,sd_2[2],cond,age10,52
as,cmpr_cond,sd,0.05068050456225,0.047682100000000005,0.020756244045006214,0.017193119159999996,0.022655244999999997,0.08750471499999998,1.0009563816871128,2101.8949651954,1607.3597038461726,0.0178760175,0.09984746250000001,3,2,sd_2[3],cond,male,52
as,cmpr_cond,sd,0.1910162885,0.188981,0.030150454851945643,0.029712045299999983,0.14510944999999997,0.2445136,1.0026826202488928,1442.863809797759,2251.175034849443,0.13891192500000002,0.25824189999999997,1,3,sd_3[1],nct_id,Intercept,52
as,cmpr_cond,sd,0.02515407195,0.024730250000000002,0.004426162676566809,0.004371149580000003,0.018672885000000004,0.03310385499999999,1.0033284635873443,1181.3661697814207,2008.5468125040807,0.017602777499999996,0.034711412500000004,2,3,sd_3[2],nct_id,age10,52
as,cmpr_cond,sd,0.05129406205,0.05071695,0.008559325567031867,0.008185953509999996,0.038485475,0.066550145,1.0011776823751988,2403.972138855009,3075.925011427397,0.03620911999999999,0.06998661,3,3,sd_3[3],nct_id,male,52
cc,cond,b,0.3023914319125,0.30100099999999996,0.054106246553057964,0.04959148739999997,0.21774700000000002,0.3883213,1.0007927771797156,2021.3089572102324,2395.497087608629,0.199509475,0.40943870000000004,1,0,b[1],pop,Intercept,31
cc,cond,b,-0.025843488604625,-0.0258877,0.01280520986228907,0.011949904259999998,-0.046324865,-0.00465701850000002,1.0012850604732666,1918.9837347550272,2360.2016564715977,-0.050461455,9.82432675000004e-4,2,0,b[2],pop,como_ct,31
cc,cond,sd,0.090538890689665,0.0820768,0.06140727476961145,0.05925522245999999,0.010749485000000001,0.20275994999999988,1.0026561551808513,678.4856399183459,1509.6322998723504,0.00521123025,0.23409275000000007,1,1,sd_1[1],cond,Intercept,31
cc,cond,sd,0.0149423205913265,0.0121225,0.012378886394211369,0.010995057968999999,0.001052191,0.038720309999999994,1.0020169901645792,1179.2621539855509,1951.6207729954274,5.501201500000001e-4,0.04465505,2,1,sd_1[2],cond,como_ct,31
cc,cond,sd,0.2085626855,0.205927,0.03165215007802361,0.03023243789999999,0.16253155,0.26482745,1.0004308094214696,1198.573679403266,2112.577651856503,0.154055125,0.28167689999999995,1,2,sd_2[1],nct_id,Intercept,31
cc,cond,sd,0.0589216784,0.05791305,0.008755143325739848,0.0082543755000000045,0.046395825,0.07475039999999998,1.0003445169849683,1807.968596093332,2712.789071205437,0.0447404025,0.07863508250000004,2,2,sd_2[2],nct_id,como_ct,31
cc,cmpr_cond,b,0.301075239095,0.3021855,0.06895284669087644,0.0631557948,0.18819425,0.41423574999999996,1.0019869831329562,2460.999536271995,2201.4260621718827,0.16245210000000002,0.438956975,1,0,b[1],pop,Intercept,31
cc,cmpr_cond,b,-0.023477369950275,-0.02415875,0.017717690426950518,0.01661186583,-0.052032365,0.006518046499999979,1.0037393243126005,2450.3779373421453,2520.2056256181604,-0.0574651025,0.014115595000000005,2,0,b[2],pop,como_ct,31
cc,cmpr_cond,sd,0.16784704909025,0.166394,0.06546132906369263,0.061594616999999977,0.05812165,0.27715334999999997,1.0207210759295287,515.2157784330219,964.8190245842895,0.03538411,0.30252904999999997,1,1,sd_1[1],cmpr,Intercept,31
cc,cmpr_cond,sd,0.039070755396075,0.0385352,0.02118124955995423,0.02211268248,0.005482792500000002,0.07497537,1.008364046514215,585.1015029509424,1184.7864483463568,0.003000556,0.0833650075,2,1,sd_1[2],cmpr,como_ct,31
cc,cmpr_cond,sd,0.126431165831325,0.1208085,0.07363038826545996,0.06837313833,0.020871445000000002,0.25702519999999995,1.0088196089383412,799.4203360433353,1815.2914578849582,0.0118018275,0.29438060000000005,1,2,sd_2[1],cond,Intercept,31
cc,cmpr_cond,sd,0.024645986409525,0.022296700000000003,0.01741520422004567,0.016752638699999996,0.002109556,0.055827819999999986,1.0083211058088495,706.9657585564769,1784.9887544530309,0.0010684757500000004,0.064298325,2,2,sd_2[2],cond,como_ct,31
cc,cmpr_cond,sd,0.135553509075,0.1303115,0.043624429201324866,0.04591589961,0.07389546,0.21255055,1.0249299824650746,401.3843072063486,1284.5873376329362,0.06769372750000001,0.231618525,1,3,sd_3[1],nct_id,Intercept,31
cc,cmpr_cond,sd,0.0461519699,0.04613645,0.012439422881454948,0.013094693850000004,0.026530190000000002,0.06677884,1.005551080309389,686.3561675146643,1623.3254293705313,0.02369575,0.0712556625,2,3,sd_3[2],nct_id,como_ct,31
eth,cond,b,0.283780333875,0.285678,0.05768985444220422,0.053388425999999975,0.18715754999999998,0.3765844999999999,1.001883315804134,1612.2989607133295,1852.518429744299,0.16156195,0.39553380000000005,1,0,b[1],pop,Intercept,45
eth,cond,b,-0.018153077132625,-0.01877355,0.03083636706792761,0.030288146595,-0.067679325,0.03393388999999997,1.0002015097795858,2334.6715710069752,2667.159597158442,-0.0766730325,0.04330737750000008,2,0,b[2],pop,asian,45
eth,cond,b,0.03953304478325,0.0400133,0.02267058580469784,0.021739215540000002,0.0016603475000000008,0.07494996500000001,1.0015222113353015,2541.448481986865,2903.6282870818627,-0.0062801672499999996,0.08316254250000002,3,0,b[3],pop,black,45
eth,cond,b,-0.056576376990875,-0.0571558,0.0400035442009463,0.03710021175,-0.1201808,0.01003537999999998,0.999830046966892,2764.052248222806,2837.895841675889,-0.13396557499999998,0.027398612500000013,4,0,b[4],pop,nativ,45
eth,cond,b,0.0092078540176125,0.00962569,0.042542228082780284,0.040059466524,-0.05925294,0.07759972499999997,1.000115023363452,3232.7204617931507,3185.0446107397333,-0.0766411875,0.0931422475,5,0,b[5],pop,other,45
eth,cond,sd,0.159510810175,0.1509115,0.05815257182151627,0.05070566129999999,0.081124225,0.26737140000000004,1.0028877864130048,985.8293548281599,1287.9599212700243,0.07062549250000001,0.300538375,1,1,sd_1[1],cond,Intercept,45
