model,nct_id,term,estimate,std.error,statistic,p.value
asce_int,NCT00115622,como_ct,-4.057e-01,2.792e-02,-14.53387382482206,7.197489283616819e-41
asce_int,NCT00115622,male,-3.403e-02,4.365e-02,-0.7795397324688884,0.4359894046677646
asce_int,NCT00115622,black,1.311e-01,1.010e-01,1.2972353899073994,0.19508153115466015
asce_int,NCT00115622,asian,3.496e-01,1.919e-01,1.8216898679926885,0.06903253104747903
asce_int,NCT00115622,nativ,9.134e-02,5.908e-02,1.5461261609619361,0.1226359985682167
asce_int,NCT00115622,other,-3.606e-02,1.009e-01,-0.35734606868098834,0.7209666569689637
asce_int,NCT00115622,male:black,-1.138e-03,1.925e-01,-0.005909901839444986,0.995286701466862
asce_int,NCT00115622,male:asian,7.355e-02,2.879e-01,0.25548385329753137,0.7984427214788292
asce_int,NCT00115622,male:nativ,-8.403e-02,1.033e-01,-0.813619436980521,0.4162069585507193
asce_int,NCT00115622,male:other,-2.073e-01,1.623e-01,-1.2771390743776454,0.2020795985292254
asce_int,NCT00117325,(Intercept),5.800e-01,4.392e-02,13.20713792485193,1.707889058284989e-36
asce_int,NCT00117325,age10,3.457e-02,8.849e-03,3.9067639730072927,1.0063425756429118e-4
asce_int,NCT00117325,como_ct,-3.311e-01,1.688e-02,-19.61792458001233,1.761749334607124e-71
asce_int,NCT00117325,male,-2.528e-02,3.030e-02,-0.8342792712562875,0.4043477473080389
asce_int,NCT00117325,black,-2.245e-02,9.269e-02,-0.24219991396039467,0.8086811225256338
asce_int,NCT00117325,asian,7.753e-02,1.830e-01,0.42374770153576674,0.6718523274800303
asce_int,NCT00117325,nativ,-3.907e-01,4.075e-01,-0.9586462220039242,0.3379976350107544
asce_int,NCT00117325,other,-3.259e-01,1.299e-01,-2.5093377592252093,0.012272606282115822
asce_int,NCT00117325,male:black,2.226e-01,1.559e-01,1.4276091946994316,0.15375554058715354
asce_int,NCT00117325,male:asian,-4.499e-01,4.473e-01,-1.005718506428858,0.31482465604841364
asce_int,NCT00117325,male:nativ,6.907e-01,5.766e-01,1.1979444511674882,0.23125792437830087
asce_int,NCT00117325,male:other,1.219e-01,2.439e-01,0.4996447750079591,0.6174488593316648
asce_int,NCT00118703,(Intercept),5.279e-01,4.447e-02,11.872693026850474,2.7958174121817543e-30
asce_int,NCT00118703,age10,3.656e-02,9.038e-03,4.04528723655755,5.6805534571069494e-5
asce_int,NCT00118703,como_ct,-3.373e-01,1.965e-02,-17.165643345475438,2.975722748205182e-57
asce_int,NCT00118703,male,5.975e-03,3.067e-02,0.1947951086680291,0.8455979087636083
asce_int,NCT00118703,black,1.878e-01,6.552e-02,2.8662407048800302,0.004251930339540522
asce_int,NCT00118703,asian,1.507e-01,1.885e-01,0.7994554777665656,0.42424014243875463
asce_int,NCT00118703,nativ,  NA,  NA,NA,NA
asce_int,NCT00118703,other,3.124e-01,2.425e-01,1.2884959781416003,0.19790897123530587
asce_int,NCT00118703,male:black,-6.322e-02,1.185e-01,-0.5335404484234751,0.5937930347666966
asce_int,NCT00118703,male:asian,1.795e-01,2.553e-01,0.7031979643459217,0.48211670549133767
asce_int,NCT00118703,male:nativ,  NA,  NA,NA,NA
asce_int,NCT00118703,male:other,-4.479e-01,2.976e-01,-1.505099996278291,0.13265396335477125
asce_int,NCT00609674,(Intercept),3.695e-01,6.076e-02,6.080968686997013,2.38397418862527e-9
asce_int,NCT00609674,age10,9.163e-03,1.433e-02,0.6392147859672604,0.5229777081678262
asce_int,NCT00609674,como_ct,-2.014e-01,2.650e-02,-7.600597427147057,1.479891715654239e-13
asce_int,NCT00609674,male,8.792e-02,4.535e-02,1.938715257821627,0.053101787285230545
