model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT02242318,age10:male:como_ct,5.04E-02,7.79E-02,0.647906465,0.517498709
asc_int,NCT00153023,(Intercept),6.82E-01,3.18E-01,2.144431481,0.032208701
asc_int,NCT00153023,age10,-6.30E-03,5.07E-02,-0.124155055,0.901214337
asc_int,NCT00153023,male,-8.36E-01,3.90E-01,-2.141991783,0.032404981
asc_int,NCT00153023,como_ct,-3.14E-01,1.25E-01,-2.505758299,0.012357059
asc_int,NCT00153023,age10:male,1.33E-01,6.24E-02,2.131439397,0.033265805
asc_int,NCT00153023,age10:como_ct,2.40E-02,1.96E-02,1.224362262,0.22106789
asc_int,NCT00153023,male:como_ct,2.89E-01,1.50E-01,1.925106133,0.054463999
asc_int,NCT00153023,age10:male:como_ct,-4.50E-02,2.36E-02,-1.909643836,0.056429214
asc_int,NCT00034840,(Intercept),3.09E-01,5.58E-01,0.553858457,0.579962277
asc_int,NCT00034840,age10,5.37E-02,9.56E-02,0.561358159,0.57484448
asc_int,NCT00034840,male,-3.17E-01,6.58E-01,-0.481770886,0.63021268
asc_int,NCT00034840,como_ct,3.30E-01,3.21E-01,1.02700902,0.304990912
asc_int,NCT00034840,age10:male,5.74E-03,1.14E-01,0.050348885,0.959867639
asc_int,NCT00034840,age10:como_ct,-6.04E-02,5.34E-02,-1.131193027,0.258601426
asc_int,NCT00034840,male:como_ct,-2.74E-01,3.90E-01,-0.70328736,0.482255532
asc_int,NCT00034840,age10:male:como_ct,4.89E-02,6.60E-02,0.741535457,0.458771764
asc_int,NCT00168857,(Intercept),8.93E-01,2.65E-01,3.36900452,7.81E-04
asc_int,NCT00168857,age10,-5.74E-02,4.33E-02,-1.324861673,0.185494708
asc_int,NCT00168857,male,-7.53E-01,3.48E-01,-2.162962768,0.030760912
asc_int,NCT00168857,como_ct,-2.76E-01,9.56E-02,-2.881028192,0.004041466
asc_int,NCT00168857,age10:male,1.12E-01,5.69E-02,1.966586007,0.049484365
asc_int,NCT00168857,age10:como_ct,2.68E-02,1.56E-02,1.7217156,0.085404768
asc_int,NCT00168857,male:como_ct,2.53E-01,1.20E-01,2.112828691,0.034842308
asc_int,NCT00168857,age10:male:como_ct,-3.79E-02,1.95E-02,-1.942898494,0.052285643
