model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT00034840,age10:male:como_ct,1.37E-01,3.80E-02,3.605982186,3.29E-04
asc_int,NCT00168857,(Intercept),9.82E-01,1.52E-01,6.460522644,1.49E-10
asc_int,NCT00168857,age10,-3.85E-02,2.53E-02,-1.522495873,0.128135597
asc_int,NCT00168857,male,-3.97E-01,2.18E-01,-1.821948707,0.068699556
asc_int,NCT00168857,como_ct,-3.08E-01,6.41E-02,-4.811436768,1.68E-06
asc_int,NCT00168857,age10:male,5.66E-02,3.59E-02,1.577738798,0.11487644
asc_int,NCT00168857,age10:como_ct,2.24E-02,1.05E-02,2.128875125,0.033457948
asc_int,NCT00168857,male:como_ct,1.54E-01,8.46E-02,1.813259305,0.070029492
asc_int,NCT00168857,age10:male:como_ct,-2.20E-02,1.38E-02,-1.587723238,0.112599628
asc_int,NCT01719003,(Intercept),3.40E-01,6.68E-02,5.097319167,3.71E-07
asc_int,NCT01719003,age10,3.58E-02,1.23E-02,2.917748807,0.003557442
asc_int,NCT01719003,male,-1.75E-01,9.46E-02,-1.845540491,0.065078276
asc_int,NCT01719003,como_ct,-2.44E-01,1.53E-01,-1.589954204,0.111972794
asc_int,NCT01719003,age10:male,1.69E-02,1.72E-02,0.978529764,0.327907975
asc_int,NCT01719003,age10:como_ct,-1.91E-02,2.86E-02,-0.665517225,0.505781719
asc_int,NCT01719003,male:como_ct,-1.55E-01,1.94E-01,-0.800311585,0.423607072
asc_int,NCT01719003,age10:male:como_ct,3.91E-02,3.50E-02,1.114888882,0.265006242
asc_int,NCT01335464,(Intercept),0.00E+00,0.00E+00,NA,NA
asc_int,NCT01335464,age10,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01335464,male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01335464,como_ct,  NA,  NA,NA,NA
asc_int,NCT01335464,age10:male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01335464,age10:como_ct,  NA,  NA,NA,NA
asc_int,NCT01335464,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT01335464,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT01335477,(Intercept),-3.67E-02,4.80E-02,-0.76534093,0.444398643
asc_int,NCT01335477,age10,6.78E-03,7.19E-03,0.942322858,0.346443353
asc_int,NCT01335477,male,5.13E-02,5.42E-02,0.946541346,0.344290485
asc_int,NCT01335477,como_ct,  NA,  NA,NA,NA
asc_int,NCT01335477,age10:male,-8.61E-03,8.11E-03,-1.061787289,0.288800818
asc_int,NCT01335477,age10:como_ct,  NA,  NA,NA,NA
asc_int,NCT01335477,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT01335477,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT02177344,(Intercept),9.64E-01,2.26E-01,4.27427553,2.13E-05
asc_int,NCT02177344,age10,-1.01E-01,3.53E-02,-2.854875033,0.004406212
asc_int,NCT02177344,male,-5.93E-01,2.89E-01,-2.052259644,0.040438783
asc_int,NCT02177344,como_ct,-3.42E-01,1.21E-01,-2.823420321,0.004858301
asc_int,NCT02177344,age10:male,9.40E-02,4.48E-02,2.09826294,0.03616553
asc_int,NCT02177344,age10:como_ct,4.84E-02,1.83E-02,2.642692482,0.008370617
asc_int,NCT02177344,male:como_ct,2.64E-01,1.65E-01,1.604468608,0.108968379
asc_int,NCT02177344,age10:male:como_ct,-4.31E-02,2.48E-02,-1.738991949,0.082384689
asc_int,NCT00856284,(Intercept),6.99E-01,4.73E-02,14.76324335,1.91E-48
asc_int,NCT00856284,age10,-9.26E-03,8.47E-03,-1.093860222,0.274061863
asc_int,NCT00856284,male,5.48E-02,6.70E-02,0.819057614,0.412787306
