NCT ID,Randomised,N,Age,Male,Comorbidity count,Comorbidity count total,Comorbidity count 0,Comorbidity count 1,Comorbidity count >= 2,White,Asian,Black,Native,Other
NCT01164501,Yes,741,64 (9),432 (58.3%),0.28 (0.62),204,591,106,44,447 (60.3%),267 (36%),22 (3%),1 (0.1%),4 (0.5%)
NCT01164501,No,576,61 (9),299 (51.9%),0.9 (1.18),521,297,135,144,102 (17.7%),112 (19.4%),23 (4%),1 (0.2%),1 (0.2%)
NCT01181895,Yes,347,41.3 (17.1),143 (41.2%),NA (NA),,,,,202 (58.2%),0 (0%),22 (6.3%),0 (0%),123 (35.4%)
NCT01181895,No,235,44 (17.3),104 (44.3%),NA (NA),,,,,155 (66%),0 (0%),26 (11.1%),0 (0%),54 (23%)
NCT01316900,Yes,846,62.9 (9),585 (69.1%),NA (NA),,,,,725 (85.7%),7 (0.8%),25 (3%),0 (0%),89 (10.5%)
NCT01316900,No,295,63.8 (9.6),184 (62.4%),NA (NA),,,,,229 (77.6%),5 (1.7%),20 (6.8%),0 (0%),41 (13.9%)
NCT01370005,Yes,825,60 (9),496 (60.1%),NA (NA),,,,,773 (93.7%),8 (1%),41 (5%),2 (0.2%),1 (0.1%)
NCT01370005,No,1005,62 (9),638 (63.5%),NA (NA),,,,,226 (22.5%),6 (0.6%),35 (3.5%),0 (0%),1 (0.1%)
NCT01436110,Yes,351,36.6 (16.6),118 (33.6%),NA (NA),,,,,164 (46.7%),2 (0.6%),32 (9.1%),0 (0%),153 (43.6%)
NCT01436110,No,304,38.4 (16.8),119 (39.1%),NA (NA),,,,,188 (61.8%),4 (1.3%),38 (12.5%),0 (0%),74 (24.3%)
NCT01691521,Yes,580,50.2 (14.3),248 (42.8%),NA (NA),,,,,455 (78.4%),105 (18.1%),16 (2.8%),0 (0%),4 (0.7%)
NCT01691521,No,222,50.4 (16),71 (32%),NA (NA),,,,,153 (68.9%),45 (20.3%),16 (7.2%),0 (0%),8 (3.6%)
NCT01719003,Yes,1418,53 (11),811 (57.2%),NA (NA),,,,,809 (57.1%),328 (23.1%),65 (4.6%),215 (15.2%),1 (0.1%)
NCT01719003,No,1066,55 (12),534 (50.1%),NA (NA),,,,,179 (16.8%),32 (3%),18 (1.7%),31 (2.9%),0 (0%)
NCT01772134,Yes,617,63.1 (8.4),409 (66.3%),1.63 (1.38),1008,145,176,296,540 (87.5%),64 (10.4%),12 (1.9%),0 (0%),1 (0.2%)
NCT01772134,No,245,63.2 (9.3),154 (62.9%),1.03 (1.45),252,138,32,75,211 (86.1%),28 (11.4%),4 (1.6%),0 (0%),2 (0.8%)
NCT01916226,Yes,681,40.3 (11.3),254 (37.3%),NA (NA),,,,,529 (77.7%),19 (2.8%),120 (17.6%),0 (0%),13 (1.9%)
NCT01916226,No,296,39.8 (12.2),106 (35.8%),NA (NA),,,,,215 (72.6%),5 (1.7%),70 (23.6%),0 (0%),6 (2%)
NCT01957163,Yes,619,64.4 (8.1),407 (65.8%),1.57 (1.32),973,146,183,290,604 (97.6%),0 (0%),14 (2.3%),0 (0%),1 (0.2%)
NCT01957163,No,108,65 (9),55 (50.9%),1.16 (1.49),125,53,17,38,104 (96.3%),0 (0%),4 (3.7%),0 (0%),0 (0%)
NCT02119286,Yes,620,62.9 (8.2),391 (63.1%),1.59 (1.31),987,137,194,289,531 (85.6%),69 (11.1%),18 (2.9%),0 (0%),2 (0.3%)
NCT02119286,No,110,63.8 (9.2),63 (57.3%),1.55 (1.66),170,40,26,44,97 (88.2%),11 (10%),2 (1.8%),0 (0%),0 (0%)
NCT02175355,Yes,1039,63 (11),449 (43.2%),0.55 (0.8),573,629,280,130,937 (90.2%),0 (0%),3 (0.3%),0 (0%),8 (0.8%)
NCT02175355,No,178,63 (12),83 (46.6%),0.59 (0.89),105,105,54,19,167 (93.8%),0 (0%),1 (0.6%),0 (0%),5 (2.8%)
NCT02177344,Yes,646,66 (8),371 (57.4%),1.54 (1.29),996,142,217,287,636 (98.5%),0 (0%),4 (0.6%),0 (0%),6 (0.9%)
NCT02177344,No,249,66 (10),141 (56.6%),1.23 (1.33),306,96,68,85,241 (96.8%),0 (0%),1 (0.4%),0 (0%),1 (0.4%)
NCT02177396,Yes,426,53 (10),290 (68.1%),NA (NA),,,,,355 (83.3%),0 (0%),64 (15%),0 (0%),7 (1.6%)
NCT02177396,No,410,55 (11),179 (43.7%),NA (NA),,,,,358 (87.3%),0 (0%),45 (11%),0 (0%),5 (1.2%)
NCT02236611,Yes,1037,64.1 (8.3),707 (68.2%),1.24 (1.11),1286,291,389,357,1033 (99.6%),4 (0.4%),0 (0%),0 (0%),0 (0%)
NCT02236611,No,315,65.5 (8.5),196 (62.2%),0.86 (1.2),272,175,60,80,315 (100%),0 (0%),0 (0%),0 (0%),0 (0%)
NCT02242318,Yes,446,53 (10),272 (61%),0.58 (0.86),257,275,105,66,391 (87.7%),0 (0%),4 (0.9%),0 (0%),1 (0.2%)
NCT02242318,No,395,57 (11),154 (39%),0.55 (0.75),217,230,122,43,360 (91.1%),0 (0%),2 (0.5%),0 (0%),0 (0%)
